index,question
1,What’s a place you’ve been that left a lasting mark on you?
2,"If you could share a long conversation over dinner with anyone from any era, who would you choose?"
3,"What’s a skill you wish you could grow into, and what draws you to it?"
4,What’s a piece of wisdom someone gave you that still shapes you today?
5,What’s something meaningful about you that people rarely notice?
6,How would you design your perfect weekend from start to finish?
7,Which book or film shifted the way you see the world?
8,What’s something in your life you rely on but often overlook?
9,When have you stepped outside your comfort zone in a memorable way?
10,"If you could instantly become exceptional at one craft, what would it be?"
11,What moment in your life altered your direction in some way?
12,What personal strength do you find yourself relying on the most?
13,What’s something small that reliably lifts your spirit?
14,"If you could eliminate one global issue with a single action, what would you choose?"
15,How do you most enjoy spending time in your own company?
16,When have you done something spontaneous that changed your day or your life?
17,What embarrassing moment can you laugh about now because of how far you’ve come?
18,"If you could re-experience one day from the last year, which one would you choose?"
19,What childhood belief feels funny or surprising to you now?
20,Which live performance or event has stayed with you long after it ended?
21,"What’s a meaningful lesson you’ve learned about friendship, especially the hard way?"
22,What family memory from this past year warms your heart the most?
23,What trait or habit do you realize you inherited from your parents?
24,Which family tradition holds the most meaning for you?
25,What’s something you truly appreciate about being part of this family?
26,Which family story never gets old no matter how often it’s told?
27,What makes you feel most cared for and understood by your family?
28,What unique strength does each person in this group contribute?
29,What’s the most energizing team experience you’ve ever been part of?
30,Which project or achievement makes you feel genuinely proud?
31,What is the most helpful way for others to give you feedback?
32,What drives you to do your best work?
33,What’s something new you’ve discovered about yourself lately?
34,What memory of us from this year makes you smile the most?
35,What’s something you admire about me that you rarely say out loud?
36,What shared goal excites you the most about our future?
37,When do you feel the most connected to me?
38,What’s an experience you hope we get to share someday?
39,What place in the world has taken your breath away the most?
40,"If you could settle into any city for a full year, where would you choose to live?"
41,Which travel experience has stayed with you long after it ended?
42,What destination sits at the top of your dream-travel list?
43,What meal stands out in your memory as unforgettable?
44,What dish instantly brings you back to home or childhood?
45,"If you had to choose one cuisine to eat forever, which would you devote yourself to?"
46,What have you cooked that made you genuinely proud?
47,What song never fails to brighten your mood?
48,What live performance will you remember for the rest of your life?
49,"If you could learn to play any instrument, which one calls to you?"
50,What do you listen to when you need a surge of motivation?
51,What sports moment stands out as unforgettable to you?
52,What sport would you love to try if fear or skill didn’t matter?
53,"Which athlete do you deeply admire, and what about them inspires you?"
54,What’s the most thrilling game or match you’ve ever watched?
55,What’s a question someone once asked you that you still think about?
56,"Who has shaped your life the most, and how?"
57,What draws your curiosity about the person sitting across from you?
58,"If you could gift a single superpower to someone you love, what would you choose?"
59,What’s one of your biggest pet peeves and why does it get to you?
60,What’s a personal red flag you’re aware of in yourself?
61,What’s a green flag you’re proud to carry?
62,"If your current mood had a color, what would it be and why?"
63,What helps you feel grounded when life feels overwhelming?
64,What are you choosing to put your faith in right now?
65,What’s something in your life that’s changing for the better?
66,Who are you quietly rooting for these days?
67,Who is the most joyful person you’ve ever encountered?
68,Do you believe people deserve second chances? Why or why not?
69,Do you believe people are capable of real change?
70,"If you could instantly appear anywhere in the world, where would you go?"
71,Do you consider yourself an honest person? Why or why not?
72,Who do you trust most deeply in your life?
73,What quality do you consider most essential in a partner?
74,What matters most to you in this season of your life?
75,What’s a question you’ve been wrestling with lately?
76,What’s the biggest “what if” that lingers in your mind?
77,Who is someone you think of as “the one who slipped out of your life” and why?
78,"When you picture success, what’s the very first image that appears?"
79,Is there someone - past or present - you wish you had made peace with? Why them?
80,What’s the question you’re most afraid to ask and who would you ask it to?
81,"Who is someone you wish you could bring back into your life, even for a moment?"
82,In what ways have you recently shown up for yourself?
83,What’s a habit or tendency you consider your worst?
84,What do you consider your greatest inner quality?
85,"If the person beside you had a superpower, what do you think it would be?"
